걸음;타임스탬프;날짜;시간
35;1539361260000;2018. 10. 13.;오전 1:21:00
35;1539361860000;2018. 10. 13.;오전 1:31:00
35;1539362460000;2018. 10. 13.;오전 1:41:00
35;1539363060000;2018. 10. 13.;오전 1:51:00
35;1539363660000;2018. 10. 13.;오전 2:01:00
35;1539364260000;2018. 10. 13.;오전 2:11:00
35;1539364860000;2018. 10. 13.;오전 2:21:00
35;1539365460000;2018. 10. 13.;오전 2:31:00
35;1539366060000;2018. 10. 13.;오전 2:41:00
35;1539366660000;2018. 10. 13.;오전 2:51:00
35;1539367260000;2018. 10. 13.;오전 3:01:00
35;1539367860000;2018. 10. 13.;오전 3:11:00
35;1539368460000;2018. 10. 13.;오전 3:21:00
35;1539369060000;2018. 10. 13.;오전 3:31:00
35;1539369660000;2018. 10. 13.;오전 3:41:00
35;1539370260000;2018. 10. 13.;오전 3:51:00
35;1539370860000;2018. 10. 13.;오전 4:01:00
35;1539371460000;2018. 10. 13.;오전 4:11:00
35;1539372060000;2018. 10. 13.;오전 4:21:00
35;1539372660000;2018. 10. 13.;오전 4:31:00
35;1539373260000;2018. 10. 13.;오전 4:41:00
35;1539373860000;2018. 10. 13.;오전 4:51:00
35;1539374460000;2018. 10. 13.;오전 5:01:00
35;1539375060000;2018. 10. 13.;오전 5:11:00
35;1539375660000;2018. 10. 13.;오전 5:21:00
35;1539376260000;2018. 10. 13.;오전 5:31:00
35;1539376860000;2018. 10. 13.;오전 5:41:00
35;1539377460000;2018. 10. 13.;오전 5:51:00
35;1539378060000;2018. 10. 13.;오전 6:01:00
35;1539378660000;2018. 10. 13.;오전 6:11:00
35;1539379260000;2018. 10. 13.;오전 6:21:00
35;1539379860000;2018. 10. 13.;오전 6:31:00
35;1539380460000;2018. 10. 13.;오전 6:41:00
35;1539381060000;2018. 10. 13.;오전 6:51:00
35;1539381660000;2018. 10. 13.;오전 7:01:00
35;1539382260000;2018. 10. 13.;오전 7:11:00
35;1539382860000;2018. 10. 13.;오전 7:21:00
35;1539383460000;2018. 10. 13.;오전 7:31:00
35;1539384060000;2018. 10. 13.;오전 7:41:00
35;1539384660000;2018. 10. 13.;오전 7:51:00
35;1539385260000;2018. 10. 13.;오전 8:01:00
35;1539385860000;2018. 10. 13.;오전 8:11:00
35;1539386460000;2018. 10. 13.;오전 8:21:00
35;1539387060000;2018. 10. 13.;오전 8:31:00
35;1539387660000;2018. 10. 13.;오전 8:41:00
35;1539388260000;2018. 10. 13.;오전 8:51:00
35;1539388860000;2018. 10. 13.;오전 9:01:00
35;1539389460000;2018. 10. 13.;오전 9:11:00
35;1539390060000;2018. 10. 13.;오전 9:21:00
35;1539390660000;2018. 10. 13.;오전 9:31:00
35;1539391260000;2018. 10. 13.;오전 9:41:00
35;1539391860000;2018. 10. 13.;오전 9:51:00
35;1539392460000;2018. 10. 13.;오전 10:01:00
35;1539393060000;2018. 10. 13.;오전 10:11:00
35;1539393660000;2018. 10. 13.;오전 10:21:00
35;1539394260000;2018. 10. 13.;오전 10:31:00
35;1539394860000;2018. 10. 13.;오전 10:41:00
35;1539395460000;2018. 10. 13.;오전 10:51:00
35;1539396060000;2018. 10. 13.;오전 11:01:00
35;1539396660000;2018. 10. 13.;오전 11:11:00
35;1539397260000;2018. 10. 13.;오전 11:21:00
35;1539397860000;2018. 10. 13.;오전 11:31:00
35;1539398460000;2018. 10. 13.;오전 11:41:00
54;1539399060000;2018. 10. 13.;오전 11:51:00
67;1539399660000;2018. 10. 13.;오후 12:01:00
119;1539400260000;2018. 10. 13.;오후 12:11:00
131;1539400860000;2018. 10. 13.;오후 12:21:00
131;1539401460000;2018. 10. 13.;오후 12:31:00
131;1539402060000;2018. 10. 13.;오후 12:41:00
131;1539402660000;2018. 10. 13.;오후 12:51:00
131;1539403260000;2018. 10. 13.;오후 1:01:00
131;1539403860000;2018. 10. 13.;오후 1:11:00
131;1539404460000;2018. 10. 13.;오후 1:21:00
131;1539405060000;2018. 10. 13.;오후 1:31:00
